feature,importance
desc_tfidf_jayanagar bengaluru karnataka,0.0013253465360424234
desc_tfidf_karnataka pin 560024,0.001324608144885213
desc_tfidf_problem sir,0.0013031966321186983
desc_tfidf_1st,0.0013030027062048229
desc_tfidf_ನಮಸ,0.0013014892737860783
desc_tfidf_moving,0.001298748409553921
desc_tfidf_starting problem,0.0012863765010330624
desc_tfidf_bangalore,0.001285881401361675
desc_tfidf_pin 560094,0.0012804519766154488
desc_tfidf_jayanagar bengaluru,0.0012796431456693939
desc_tfidf_airport,0.0012788870176912684
desc_tfidf_outer ring road,0.0012765368181725013
desc_tfidf_pin 560024,0.001275702051946797
desc_tfidf_no,0.0012643961710430438
desc_tfidf_560094,0.00125510244752265
desc_tfidf_2nd,0.0012449776809323192
desc_tfidf_outer,0.0012446395038461446
desc_tfidf_road near,0.001231320533848762
desc_tfidf_ಕಡ,0.0012231473527402122
desc_tfidf_of,0.0011998974385965444
desc_tfidf_karnataka pin 560094,0.00119135149867154
desc_tfidf_feet,0.0011864350919381875
desc_tfidf_karnataka pin 560087,0.0011481547469777403
desc_tfidf_karnataka pin 560043,0.0011454842977483043
desc_tfidf_puram,0.0011398967586652615
desc_tfidf_signal,0.0011293652073764249
desc_tfidf_layout bengaluru,0.0011166137535013056
desc_tfidf_layout bengaluru karnataka,0.001111867954761436
desc_tfidf_nagartapete bengaluru,0.0011116153913751973
desc_tfidf_pin 560043 india,0.0011003794210413128
desc_tfidf_mall,0.0010999567939776317
desc_tfidf_560043,0.0010983668229331554
desc_tfidf_560041,0.0010969102134149712
desc_tfidf_1st main road,0.001095992828011404
desc_tfidf_pin 560041,0.0010947017699723866
desc_tfidf_gandhi nagar bengaluru,0.001093993926620199
desc_tfidf_bmtc,0.001093439640073909
desc_tfidf_560041 india,0.0010909959530624655
desc_tfidf_1st main,0.0010893091636581048
desc_tfidf_bellary road,0.0010880448433545655
desc_tfidf_pin 560094 india,0.0010874939474793794
desc_tfidf_pin 560043,0.0010858461299430979
desc_tfidf_2nd cross,0.0010830781432445617
desc_tfidf_nagartapete bengaluru karnataka,0.0010826738748572194
desc_tfidf_560027,0.0010627803755441753
desc_tfidf_location towards,0.0010626806846522243
desc_tfidf_2nd cross road,0.0010613432989350707
desc_tfidf_bellary,0.001055919423117514
desc_tfidf_560043 india,0.001055268148226054
desc_tfidf_extension,0.001054509389111127
desc_tfidf_pin 560091 india,0.001053736680906005
desc_tfidf_pin 560020,0.0010493140056453897
desc_tfidf_560094 india,0.0010478475450705538
desc_tfidf_pin 560026 india,0.0010468410991756655
desc_tfidf_road block,0.0010451018637264557
desc_tfidf_560087,0.0010379921928537845
desc_tfidf_shivaji nagar bengaluru,0.0010351241329540266
desc_tfidf_560091,0.0010328181662702558
desc_tfidf_breakdown,0.0010246350595076784
desc_tfidf_area,0.001020823900215434
desc_tfidf_560091 india,0.001017831357602423
desc_tfidf_towords,0.0010162219775334959
desc_tfidf_stage bengaluru karnataka,0.001011879849443091
desc_tfidf_airport road,0.0010103516746836634
desc_tfidf_560020,0.0010100607491345891
desc_tfidf_pin 560087 india,0.0010097983688902676
desc_tfidf_offroad,0.0010060076909895223
desc_tfidf_from,0.0010059172651234955
desc_tfidf_accident,0.001002468172457198
desc_tfidf_near location,0.0010023985291429918
desc_tfidf_marathahalli,0.0009983281003412806
desc_tfidf_karnataka pin 560091,0.0009982079875256505
desc_tfidf_stage bengaluru,0.0009930238904364566
desc_tfidf_water logging,0.0009916459511160255
desc_tfidf_shivaji nagar,0.0009818386534349857
desc_tfidf_560087 india,0.0009738537889829669
desc_tfidf_karnataka pin 560041,0.0009692097475156688
desc_tfidf_560020 india,0.0009649139183756554
desc_tfidf_hsr,0.0009631171224184529
desc_tfidf_pin 560041 india,0.0009562419739472067
desc_tfidf_ಇದ,0.0009546190777558817
desc_tfidf_karnataka pin 560020,0.0009513535987195208
desc_tfidf_west,0.0009496591867086697
desc_tfidf_560026,0.0009491127340572566
desc_tfidf_nagartapete,0.0009462863393117956
desc_tfidf_pin 560026,0.0009387768854649624
desc_tfidf_ತದ ಸರ,0.0009386416910314493
desc_tfidf_whitefield,0.0009335830505323326
desc_tfidf_pin 560091,0.0009195388315108773
desc_tfidf_vasant nagar,0.0009176182090959997
desc_tfidf_pin 560020 india,0.0009161818535026097
desc_tfidf_560026 india,0.0009160581556888457
desc_tfidf_south,0.0009117767649048375
desc_tfidf_ಇರ,0.0009056567194178195
desc_tfidf_pin 560087,0.0008997239439310874
desc_tfidf_road dr,0.0008968465637129724
desc_tfidf_pin 560027,0.0008967499551516961
desc_tfidf_shivaji,0.0008949454563083568
desc_tfidf_apartment,0.0008946365027462728
desc_tfidf_bengaluru highway,0.0008920970338131115
desc_tfidf_560064 india,0.000888183068703041
desc_tfidf_no problem,0.0008837586178041061
desc_tfidf_karthik,0.0008721624005220526
desc_tfidf_jalahalli,0.000864963468166389
desc_tfidf_road sir,0.0008633615125521224
desc_tfidf_market,0.0008624873292011161
desc_tfidf_flyover,0.0008617887252628972
desc_tfidf_karnataka pin 560045,0.0008598699624868539
desc_tfidf_560037 india,0.0008595666479364265
desc_tfidf_slow moving,0.0008593590847306551
desc_tfidf_reddy,0.0008591611396025691
desc_tfidf_karnataka pin 560034,0.000859016283609086
desc_tfidf_560045 india,0.0008586550848401245
desc_tfidf_going,0.0008548023064215271
desc_tfidf_madras,0.0008444502803924453
desc_tfidf_vasant nagar bengaluru,0.0008394462368500254
desc_tfidf_the,0.0008381193473582932
desc_tfidf_reddy layout,0.0008336928707992963
desc_tfidf_normal,0.0008316854249852198
desc_tfidf_varthur,0.0008248759911860029
desc_tfidf_highway,0.0008195253458372001
desc_tfidf_karnataka pin 560037,0.0008184523045855621
desc_tfidf_560027 india,0.0008174980327314892
desc_tfidf_bus off road,0.0008155472799944889
desc_tfidf_pin 560045,0.0008125349145959964
desc_tfidf_vasant,0.0008108842034188636
desc_tfidf_mumbai,0.0008063074333821506
desc_tfidf_gate,0.0007945276581845009
desc_tfidf_ಇರ ತದ,0.0007929399173103866
desc_tfidf_560045,0.0007918076458281477
desc_tfidf_pin 560068 india,0.0007867731557071769
desc_tfidf_pin 560068,0.0007860968715100803
desc_tfidf_karnataka pin 560026,0.0007836009293454962
desc_tfidf_is,0.0007835143207386415
desc_tfidf_ದರ,0.0007831401016035972
desc_tfidf_pin 560027 india,0.0007831341048367356
desc_tfidf_cv raman,0.0007821351290548701
desc_tfidf_jn,0.0007802568862529804
desc_tfidf_560022,0.0007684132077738918
desc_tfidf_cv,0.0007683647370298319
desc_tfidf_raman,0.0007645130187973246
desc_tfidf_560068 india,0.0007636479997316076
desc_tfidf_560034,0.0007624294743106737
desc_tfidf_560037,0.0007567905231308001
desc_tfidf_pin 560045 india,0.0007526778373322965
desc_tfidf_traffic no,0.0007525227992816635
desc_tfidf_old madras,0.0007522069288863442
desc_tfidf_not,0.0007509671092208539
desc_tfidf_560064,0.0007463566142832913
desc_tfidf_pin 560037,0.0007456740161536141
desc_tfidf_karnataka pin 560068,0.0007440654088649542
desc_tfidf_karnataka pin 560064,0.0007422822634252234
desc_tfidf_pin 560064,0.0007415488707642716
desc_tfidf_mumbai bengaluru,0.0007397163720037012
desc_tfidf_police,0.0007396262269015286
desc_tfidf_560034 india,0.000730898777972233
desc_tfidf_bus off,0.0007211086483307586
desc_tfidf_mumbai bengaluru highway,0.0007197951461104326
desc_tfidf_bmtc bus,0.000718269712637221
desc_tfidf_madras road,0.0007179642404398443
desc_tfidf_old madras road,0.0007159339060930698
desc_tfidf_560022 india,0.0007152804072650123
desc_tfidf_traffic slow,0.0007138344842368754
desc_tfidf_ಷನ,0.0007130515988266325
desc_tfidf_pin 560037 india,0.0007086694553129193
desc_tfidf_karnataka pin 560027,0.0007071538132534778
desc_tfidf_pin 560064 india,0.000703988981986101
desc_tfidf_560068,0.0007001701997746833
desc_tfidf_service,0.0006998459680491649
desc_tfidf_pin 560025 india,0.0006954772994996168
desc_tfidf_new,0.0006928187308950352
desc_tfidf_road towards,0.0006874997079342386
desc_tfidf_car,0.0006784456475076887
desc_tfidf_ganga,0.0006749635459364349
desc_tfidf_one,0.0006745915455037154
desc_tfidf_sankey,0.0006735302064848616
desc_tfidf_park,0.0006680796155661166
desc_tfidf_karnataka pin 560023,0.0006644789594115553
desc_tfidf_pin 562162 india,0.0006641289134099358
desc_tfidf_pin 560034,0.0006618008788142282
desc_tfidf_560025 india,0.0006608239795966189
desc_tfidf_562162 india,0.0006607656541443219
desc_tfidf_sankey road,0.0006558038118941769
desc_tfidf_karnataka pin 560073,0.0006552438513407798
desc_tfidf_koramangala bengaluru,0.0006541524182102945
desc_tfidf_560073,0.000652938248874417
desc_tfidf_pin 560073,0.0006509208511355564
desc_tfidf_ganga nagar,0.0006478441066038536
desc_tfidf_ವರ,0.0006410242089638905
desc_tfidf_ಬಸ,0.000637890518930932
desc_tfidf_pin 560025,0.0006352555920981001
desc_tfidf_krishna,0.000635081670888506
desc_tfidf_koramangala bengaluru karnataka,0.0006284820140665845
desc_tfidf_560102 india,0.0006283618287650685
desc_tfidf_yelahanka,0.0006280709833819478
desc_tfidf_industrial,0.0006271451075741939
desc_tfidf_560023 india,0.0006255732295483343
desc_tfidf_sir traffic,0.0006229658194081524
desc_tfidf_pin 560034 india,0.0006217527792835838
desc_tfidf_agrahara,0.000621082130256515
desc_tfidf_traffic no problem,0.000620288519005959
desc_tfidf_estate,0.000617831393372357
desc_tfidf_traffic movement,0.0006171850810444559
desc_tfidf_pin 560018 india,0.0006167388855143056
desc_tfidf_yelahanka bengaluru karnataka,0.0006159786942777636
desc_tfidf_magadi,0.0006145019170762742
desc_tfidf_pin 560102 india,0.0006122384477845678
desc_tfidf_pin 560022,0.0006097516265585992
desc_tfidf_karnataka pin 560018,0.0006058795186387243
desc_tfidf_karnataka pin 560025,0.0006057795079345996
desc_tfidf_562162,0.0006003642961482644
desc_tfidf_pin 560023,0.0006002744335524201
desc_tfidf_karnataka pin 560102,0.0005990849211909854
desc_tfidf_pin 560018,0.0005986412366295757
desc_tfidf_koramangala,0.0005984715982848882
desc_tfidf_560102,0.0005983026430470011
desc_tfidf_nagavara,0.000597195626181457
desc_tfidf_pin 560013 india,0.000596422320632957
desc_tfidf_towards city,0.0005952915990609814
desc_tfidf_560073 india,0.0005897215775755621
desc_tfidf_560025,0.0005897159374987129
desc_tfidf_560018,0.0005871409358411768
desc_tfidf_pin 560023 india,0.0005855241623919322
desc_tfidf_circle gandhi,0.0005848813592351675
desc_tfidf_ಆಗ ತದ,0.0005817110048685871
desc_tfidf_560018 india,0.0005804676058893819
desc_tfidf_seshadripuram,0.0005790900526111432
desc_tfidf_pin 562162,0.0005739678254082151
desc_tfidf_karnataka pin 560022,0.0005721094645743157
desc_tfidf_ನಲ,0.000571016402745128
desc_tfidf_nagar marathahalli,0.0005686728449353369
desc_tfidf_seshadripuram bengaluru,0.0005638045116804929
desc_tfidf_pin 560039 india,0.0005635596283528671
desc_tfidf_on flyover,0.0005610177280190244
desc_tfidf_circle gandhi nagar,0.0005594523681625994
desc_tfidf_hebbal bengaluru,0.0005571600230076445
desc_tfidf_at location,0.0005571015254968267
desc_tfidf_seshadripuram bengaluru karnataka,0.0005554017887608801
desc_tfidf_pin 560013,0.0005540540748266839
planned_x_office_hours,0.0005515606677041372
desc_tfidf_pin 560073 india,0.0005493326675861932
desc_tfidf_karnataka pin 562162,0.0005491585316803758
desc_tfidf_vehicle breakdown,0.0005473668957265901
desc_tfidf_pin 560102,0.0005471964181601463
desc_tfidf_vehicle break down,0.0005457942759921049
desc_tfidf_richmond,0.0005456307813108099
desc_tfidf_pin 560022 india,0.0005447388851017772
desc_tfidf_layout stage,0.0005429871001949424
desc_tfidf_slow movement,0.0005389231649307875
desc_tfidf_vehicle break,0.0005384983685623598
desc_tfidf_560013,0.0005372501014375765
desc_tfidf_phase,0.0005333523285950015
desc_tfidf_karnataka pin 560039,0.000532930478275852
desc_tfidf_bannerghatta main,0.0005322687236914859
desc_tfidf_peenya,0.0005303117312495922
desc_tfidf_560039,0.0005292481643665663
desc_tfidf_pin 560077,0.0005290570256149847
desc_tfidf_ganga nagar bengaluru,0.0005278537752613167
desc_tfidf_560039 india,0.0005276941752634048
desc_tfidf_yeshwanthpur bengaluru,0.000526900524703925
desc_tfidf_flyover towards,0.0005259633486721811
desc_tfidf_pin 560036,0.0005232728891420402
desc_tfidf_pin 560036 india,0.0005216338744915722
desc_tfidf_560023,0.0005213734250334515
desc_tfidf_pin 560077 india,0.0005212611109243852
desc_tfidf_on flyover towards,0.0005207713891937656
desc_tfidf_no problem sir,0.0005199794338663522
desc_tfidf_karnataka pin 560013,0.0005193033231919958
desc_tfidf_560036,0.0005137067973340194
desc_tfidf_yelahanka bengaluru,0.0005131292945514688
desc_tfidf_service road,0.0005064086962407239
desc_tfidf_560077,0.0005045503445922477
desc_tfidf_pin 560039,0.0005036288565949687
desc_tfidf_domlur,0.0005033156668802161
desc_tfidf_hebbal bengaluru karnataka,0.0004999655673577064
desc_tfidf_chamarajpet bengaluru karnataka,0.0004974384105673643
desc_tfidf_hbr layout,0.0004956235112139973
desc_tfidf_nagar marathahalli bengaluru,0.0004950033277395634
desc_tfidf_chamarajpet,0.0004901242590622204
desc_tfidf_560013 india,0.0004866021702014563
desc_tfidf_560077 india,0.00048617885889891746
desc_tfidf_north,0.00048479530617350506
desc_tfidf_btm,0.00048365723864171345
desc_tfidf_karnataka pin 560077,0.0004785590790345569
desc_tfidf_wheel,0.00047833263499328976
desc_tfidf_karnataka pin 560066,0.0004783136254657723
desc_tfidf_bannerghatta main road,0.00047725805510429227
desc_tfidf_rajaji nagar bengaluru,0.00047472253286808924
desc_tfidf_karthik nagar marathahalli,0.0004714131759661496
desc_tfidf_ನಮಸ ಸರ,0.00046985399476318627
desc_tfidf_560066,0.0004686777108407812
desc_tfidf_one side,0.0004624269725097244
desc_tfidf_hbr,0.00046240626764232297
desc_tfidf_ಕಲ,0.00045199444741495084
desc_tfidf_peenya bengaluru,0.00045117122140818497
desc_tfidf_560036 india,0.00045059369823739976
desc_tfidf_pin 560066 india,0.00045056203849800996
desc_tfidf_magadi main,0.0004491135549099428
desc_tfidf_village,0.0004475120746795284
desc_tfidf_karnataka pin 560032,0.0004474590425840626
desc_tfidf_bannerghatta,0.00044741951454074205
desc_tfidf_will be,0.00044012391305852885
desc_tfidf_hbr layout bengaluru,0.0004393306754296057
desc_tfidf_puncture,0.00043763749554111796
desc_tfidf_marathahalli bengaluru,0.00043662978688686145
desc_tfidf_malleshwaram,0.0004365963152439464
desc_tfidf_pin 560032,0.00043316668022692076
desc_tfidf_marathahalli bengaluru karnataka,0.0004324127705591667
desc_tfidf_560066 india,0.0004309797496005171
desc_tfidf_rmv,0.0004305551405855231
desc_tfidf_pin 560010,0.0004303053475605286
desc_tfidf_560076 india,0.00042760050703280386
desc_tfidf_moment,0.00042717738254975657
desc_tfidf_560032,0.0004257434885781389
desc_tfidf_yeshwanthpur bengaluru karnataka,0.0004220183001367069
desc_tfidf_magadi main road,0.00041909570812749124
desc_tfidf_yeshwanthpur,0.0004169066668117763
desc_tfidf_chamarajpet bengaluru,0.0004144712246556322
desc_tfidf_560032 india,0.0004096811801826989
desc_tfidf_560055 india,0.0004073528279831027
desc_tfidf_karnataka pin 560036,0.00040694475112177444
desc_tfidf_cut,0.00040538473035617214
desc_tfidf_pin 560016,0.00040429712184947
desc_tfidf_peenya bengaluru karnataka,0.0004032378681957141
desc_tfidf_moving sir,0.0004017010347585195
desc_tfidf_pin 560066,0.0004007685916086492
desc_tfidf_pin 560055,0.0004006391820116462
desc_tfidf_karnataka pin 560055,0.0003980084510399769
desc_tfidf_sir mbt road,0.00039720012548513065
desc_tfidf_1st cross,0.00039468533190226027
desc_tfidf_west bengaluru,0.00039036124473828355
desc_tfidf_phase bengaluru karnataka,0.00039018423930947763
desc_tfidf_560078,0.000389825063484575
desc_tfidf_nagar phase bengaluru,0.00038823858715430137
desc_tfidf_pin 560055 india,0.00038501483708597626
desc_tfidf_jp,0.00038161622449300707
desc_tfidf_pin 560032 india,0.0003791431931242771
desc_tfidf_malleshwaram west,0.00037772102767918926
desc_tfidf_560010,0.0003766946854173428
desc_tfidf_will be slow,0.0003752729167083325
desc_tfidf_station,0.00037460193742888003
desc_tfidf_hennur,0.00037403362551277153
desc_tfidf_pin 560076 india,0.0003731032923378185
desc_tfidf_madiwala,0.0003699155321600335
desc_tfidf_nagar phase,0.0003689305432940583
desc_tfidf_560009,0.00036877709259267223
desc_tfidf_banashankari stage bengaluru,0.0003627247702472228
desc_tfidf_starting problem sir,0.00035958361994386
desc_tfidf_phase bengaluru,0.000358670922660388
desc_tfidf_560016,0.0003576123519383947
desc_tfidf_560010 india,0.00035668632314581517
desc_tfidf_west bengaluru karnataka,0.0003564013857426853
desc_tfidf_pin 560072 india,0.0003554187540343129
desc_tfidf_sir bellary,0.00035243255549769387
desc_tfidf_560076,0.00035132072633392244
desc_tfidf_pin 560010 india,0.00035003392918298135
desc_tfidf_sir mbt,0.00034853450260404953
desc_tfidf_malleshwaram west bengaluru,0.0003477251313938572
desc_tfidf_560103,0.000346570313881441
desc_tfidf_560078 india,0.00034639241593278995
desc_tfidf_due to starting,0.00034501554052010296
desc_tfidf_karthik nagar,0.00034435358192802485
desc_tfidf_karnataka pin 560100,0.000343724426236039
desc_tfidf_vehicle off,0.0003397998571882135
desc_tfidf_pin 560072,0.000337910677182935
desc_tfidf_to starting,0.0003378188397936523
desc_tfidf_560016 india,0.00033684663913623403
desc_tfidf_rajaji,0.00033567096027096023
desc_tfidf_karnataka pin 560010,0.0003341173728763185
desc_tfidf_jp nagar phase,0.00033327658419255563
desc_tfidf_traffic movement will,0.0003300911494529304
desc_tfidf_puncher,0.00032930948777100025
desc_tfidf_pin 560078,0.00032737067587882936
desc_tfidf_karnataka pin 560072,0.0003261460171527338
desc_tfidf_pin 560078 india,0.000325136668578285
desc_tfidf_dasarahalli,0.00032312938881480817
desc_tfidf_560055,0.0003224248815723332
desc_tfidf_slow moment,0.0003223844782494431
desc_tfidf_karnataka pin 560078,0.0003222992199063398
desc_tfidf_pin 560016 india,0.00032176544801271835
desc_tfidf_sir mumbai bengaluru,0.0003195383343156199
desc_tfidf_560100,0.000318298836252566
desc_tfidf_bommanahalli,0.0003182758180842404
desc_tfidf_1st cross road,0.0003181074109548165
desc_tfidf_pin 560076,0.00031401695780220774
desc_tfidf_pin 560100,0.000313549258345288
desc_tfidf_traffic slow moving,0.00031322583908879534
desc_tfidf_560100 india,0.0003124204292757747
desc_tfidf_rajaji nagar,0.00031149906819758687
desc_tfidf_pin 560100 india,0.00031091203934616196
desc_tfidf_karnataka pin 560076,0.0003096828452423943
desc_tfidf_movement will,0.0003092378231396094
desc_tfidf_karnataka pin 560016,0.0003054496578656335
desc_tfidf_traffic one side,0.0003009933277990978
desc_tfidf_sir bellary road,0.00029832474392196053
desc_tfidf_to starting problem,0.0002953939759708448
desc_tfidf_banashankari stage,0.00029520107074490097
desc_tfidf_pin 560058,0.00029373575054371056
desc_tfidf_rajkumar,0.000292381825730876
desc_tfidf_jp nagar,0.0002923299159956629
desc_tfidf_dasarahalli bengaluru,0.00028288000602323806
desc_tfidf_to location,0.0002817631125328657
desc_tfidf_560058,0.00028048350259651957
desc_tfidf_nagarbhavi stage bengaluru,0.00027988548924470785
desc_tfidf_vehicle off road,0.0002788611366632544
desc_tfidf_banashankari,0.00027853727297280515
desc_tfidf_560103 india,0.00027614207909198345
desc_tfidf_560072,0.0002720594506810427
desc_tfidf_560072 india,0.00026552485422336435
desc_tfidf_sir mumbai,0.00026381250865807127
desc_tfidf_560009 india,0.0002611526610583444
desc_tfidf_tyre,0.0002596222260958251
desc_tfidf_nagarbhavi,0.00025927904628508406
desc_tfidf_be slow,0.0002563894970250893
desc_tfidf_will,0.00025522071829944045
desc_tfidf_road due,0.00025459984693051513
desc_tfidf_560058 india,0.0002530625241544908
desc_tfidf_lgv,0.0002526323574373562
desc_tfidf_sir outer ring,0.0002495559188759775
desc_tfidf_dr rajkumar,0.0002494386312348456
desc_tfidf_be,0.00024599725503217856
desc_tfidf_slow due,0.00024279200520834068
desc_tfidf_pin 560058 india,0.0002411217260106989
desc_tfidf_karnataka pin 560058,0.00023892072311709831
desc_tfidf_sir outer,0.00023741910026200228
desc_tfidf_rajkumar puniya bhoomi,0.00023022888208744214
desc_tfidf_traffic normal,0.00022988773017921813
desc_tfidf_person towards,0.00022761034230133213
desc_tfidf_pin 560057 india,0.00022515542751980376
desc_tfidf_dr rajkumar puniya,0.00022362707604738828
desc_tfidf_nagavara bengaluru karnataka,0.0002229266972273172
desc_tfidf_work outer ring,0.00021759620482288272
desc_tfidf_rajkumar puniya,0.00021509622304947455
desc_tfidf_marathhalli,0.00021267301942950415
desc_tfidf_road karthik,0.00021155274591246726
desc_tfidf_karnataka pin 560057,0.0002113963684596612
desc_tfidf_traffic slow movement,0.0002106818521532633
desc_tfidf_bhoomi,0.00021036791946123587
desc_tfidf_movement sir,0.00020986769467962982
desc_tfidf_underpass,0.00020711373289061919
desc_tfidf_karnataka pin 560103,0.00020367835947057033
desc_tfidf_pin 560057,0.00020183553994721761
desc_tfidf_560057 india,0.00020118288072524702
desc_tfidf_dasarahalli bengaluru karnataka,0.0001977611496921384
desc_tfidf_pin 560103,0.00019774589144700664
